Group,Team,2024 performance[22],Head coach[23],Captain[23]
A,Chennai Super Kings,5th,Stephen Fleming,MS Dhoni[a]
A,Kolkata Knight Riders,Champions,Chandrakant Pandit,Ajinkya Rahane
A,Punjab Kings,9th,Ricky Ponting,Shreyas Iyer
A,Rajasthan Royals,3rd,Rahul Dravid,Sanju Samson[b]
A,Royal Challengers Bengaluru,4th,Andy Flower,Rajat Patidar
B,Delhi Capitals,6th,Hemang Badani,Axar Patel
B,Gujarat Titans,8th,Ashish Nehra,Shubman Gill
B,Lucknow Super Giants,7th,Justin Langer,Rishabh Pant
B,Mumbai Indians,10th,Mahela Jayawardene,Hardik Pandya[c]
B,Sunrisers Hyderabad,Runners-up,Daniel Vettori,Pat Cummins
